ID,Il,yıllık_ortalama_sicaklik,Nufus,Elektrik,Issizlik,Ortalama_Maas,Kira,Eğitim,Suc_Orani
id_1,Adana,19.1,2270298.0,3474.0,14.0,31500,20053,7,0.75
id_2,Adıyaman,16.9,604978.0,1876.0,12.2,25000,14181,5,0.15
id_3,Afyonkarahisar,11.3,751344.0,2785.0,8.0,25500,18061,4,0.68
id_4,Ağrı,6.3,511238.0,1026.0,14.6,26000,15154,3,0.22
id_5,Amasya,13.8,339529.0,2089.0,8.9,25500,16889,6,0.59
id_6,Ankara,12.0,5803482.0,2972.0,11.2,42000,28569,8,0.58
id_7,Antalya,18.7,2696249.0,3736.0,7.4,37000,25936,7,0.84
id_8,Artvin,12.4,172356.0,2249.0,10.3,25000,22428,4,0.32
id_9,Aydın,17.8,1161702.0,3177.0,10.1,29000,23059,3,0.97
id_10,Balıkesir,14.6,1273519.0,3484.0,5.8,28500,22102,5,0.76
id_11,Bilecik,12.6,228058.0,9871.0,7.2,25500,17892,4,0.55
id_12,Bingöl,12.2,285655.0,1159.0,7.9,25500,15894,4,0.24
id_13,Bitlis,8.9,359747.0,1206.0,11.7,25000,14265,4,0.17
id_14,Bolu,10.4,324789.0,4505.0,8.5,27000,18757,6,0.52
id_15,Burdur,13.3,277452.0,3453.0,5.1,25500,15713,4,0.74
id_16,Bursa,14.7,3214571.0,4273.0,8.3,36500,21316,7,0.67
id_17,Çanakkale,15.0,570499.0,6858.0,6.6,28000,24453,7,0.71
id_18,Çankırı,11.5,205501.0,3010.0,5.2,25000,17585,4,0.49
id_19,Çorum,10.9,528351.0,1742.0,8.1,26000,18253,4,0.87
id_20,Denizli,16.0,1059082.0,3769.0,8.1,30500,16482,5,0.9
id_21,Diyarbakır,15.9,1818133.0,1800.0,11.9,27500,18100,4,0.31
id_22,Edirne,13.9,419913.0,3148.0,7.5,27500,21631,6,0.73
id_23,Elazığ,13.1,604411.0,2527.0,7.9,26500,14595,4,0.45
id_24,Erzincan,11.0,243399.0,2803.0,7.5,25500,16143,4,0.19
id_25,Erzurum,5.7,749993.0,1464.0,7.3,27000,16796,4,0.19
id_26,Eskişehir,11.1,915418.0,3939.0,8.0,34000,18132,9,0.65
id_27,Gaziantep,15.0,2164134.0,4173.0,9.6,33500,18100,6,0.64
id_28,Giresun,14.4,461712.0,1612.0,8.5,25500,18203,4,0.57
id_29,Gümüşhane,9.7,148539.0,2404.0,14.1,25000,15274,4,0.35
id_30,Hakkari,10.2,287625.0,1079.0,23.3,25500,11573,2,0.19
id_31,Hatay,18.5,1544640.0,4144.0,15.6,26000,17231,4,0.48
id_32,Isparta,12.2,449777.0,2765.0,7.4,26500,16500,7,0.82
id_33,Mersin,19.2,1938389.0,3374.0,7.1,31000,22260,5,0.79
id_34,İstanbul,14.5,15655924.0,2757.0,8.9,48500,33656,9,0.61
id_35,İzmir,17.9,4479525.0,4799.0,11.4,41500,28531,8,0.8
id_36,Kars,4.9,278335.0,1182.0,7.7,25000,12112,4,0.28
id_37,Kastamonu,9.9,388990.0,2919.0,4.9,25500,15981,4,0.56
id_38,Kayseri,10.6,1445683.0,2983.0,9.5,29000,16050,5,0.6
id_39,Kırklareli,13.3,377156.0,7506.0,8.7,27000,22114,4,0.68
id_40,Kırşehir,11.5,247179.0,2843.0,10.7,25500,15581,4,0.63
id_41,Kocaeli,14.9,2102907.0,8007.0,9.1,36000,23614,7,0.62
id_42,Konya,11.6,2320241.0,4137.0,6.0,33000,21109,6,0.54
id_43,Kütahya,10.8,575674.0,3200.0,7.3,25000,15385,4,0.71
id_44,Malatya,13.8,742725.0,2039.0,6.4,28500,16034,5,0.38
id_45,Manisa,16.9,1475716.0,3964.0,6.3,27500,21089,5,0.83
id_46,Kahramanmaraş,16.7,1116618.0,4027.0,14.6,26500,18178,4,0.51
id_47,Mardin,16.1,888874.0,3207.0,10.5,26000,16765,4,0.19
id_48,Muğla,15.0,1066736.0,3797.0,6.1,30000,24249,7,0.78
id_49,Muş,9.9,399879.0,1076.0,12.1,25000,10714,4,0.18
id_50,Nevşehir,10.7,315994.0,2672.0,5.5,25500,17012,4,0.66
id_51,Niğde,11.1,377080.0,3743.0,9.3,25000,16359,4,0.61
id_52,Ordu,14.4,775800.0,1864.0,7.7,26000,18067,4,0.64
id_53,Rize,14.3,350506.0,2204.0,8.7,25500,21860,4,0.48
id_54,Sakarya,14.4,1098115.0,4156.0,8.3,29500,22690,5,0.69
id_55,Samsun,14.5,1377546.0,2763.0,9.4,30000,20625,6,0.72
id_56,Siirt,15.8,347412.0,1384.0,8.0,25000,14034,4,0.17
